"type","lat","lng","id","zone","device","description"
"Point","40.43592962033734","-3.6671897560631623","7077","city","35058","Camilo José Cela, 4  S-N - Azcona-Eraso"
"Point","40.43350459654959","-3.663780964223592","4685","city","35054"," Av.Toreros O-N - Colomer-Francisco Altimiras(Giro)"
"Point","40.43813445564368","-3.6720991972554535","4686","city","35056"," Mejico E-O - Eduardo Vicente-Cartagena"
"Point","40.46270253412242","-3.691664509190298","9991","city","62001","Capitan  Haya, 55  - Rosario Pino -Estebanez Calderon"
"Point","40.428251411559586","-3.63093937373002","5978","city","45033","C/. Hermanos García Noblejas - Castillo de Arévalo-Castropol"
"Point","40.426661908013415","-3.629764584970364","5979","city","45034","C/. Hermanos García Noblejas - Castillo de Uclés-Castillo de Arévalo"
"Point","40.480536329644785","-3.666976235486608","6071","city","47010","C/. Arturo Soria - Briviesca-Caleruega"
"Point","40.43163333504591","-3.6415186559566384","6148","city","53018","C/. Emilio Ferrari - Vital Aza-Esteban Collantes"
"Point","40.45686657562244","-3.618580653072795","6265","city","55054","Av. de los Andes - Mahonia-Mitra"
"Point","40.47097167986909","-3.6392210414132156","6309","city","56029","C/. Mar Adriático - Chiquinquira-Ayacucho"
"Point","40.44214997325679","-3.654119399657103","6374","city","59020","Av. Badajoz - Martínez Villergas-Torrelaguna"
"Point","40.442375695753576","-3.653885407516642","3786","city","59022","Av. Badajoz - Torrelaguna-Martínez Villergas"
"Point","40.441143149585955","-3.6558251721911867","6376","city","59023","Av. Badajoz - Martínez Villergas-Salvador de Madariaga"
"Point","40.440413573254624","-3.6570728982202874","6377","city","59024","C/. Salvador de Madariaga - Av. Badajoz-Verdaguer y García"
"Point","40.43279003601936","-3.6108421417824696","6406","city","64021","María Sevilla Odiago - Niza-Av. Canillejas a Vicálvaro"
"Point","40.43469515111354","-3.605412487544707","6468","city","66002","Av. Arcentales - Av. Arcentales-Pl. Grecia"
"Point","40.433716016495914","-3.6219974860270105","3698","city","71021","C/. Miguel Yuste - Gta. Arcentales-Emilio Muñóz"
"Point","40.3787003332287","-3.619097839010269","5207","city","82007","C/. Monte de Barbanza - Travesia Gavia Seca-Real Arganda"
